OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1,2854,4211906,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3323.6614508416,486484.884143477
2,2255,4260503,North City Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1953.98109236218,172424.830096553
3,5006,5241202,41.5 Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1473.23744846396,62314.1286558417
4,2307,4250601,Green Lake Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,32893.5986596617,2949331.28664613
5,2377,4262002,North Acres Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4179.96808752619,900426.962641376
6,2803,5240602,Chism Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,5179.13208685639,829551.496559493
7,7188,3241508,Me-Kwa-Mooks Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5802.59490714073,249010.329978494
8,2695,5262002,Edith Moulton Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,5073.55379028848,1163336.03506797
9,4285,6260704,Cold Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,25202.2362771912,6091110.22600254
10,7026,4253103,Belltown Cottage Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,360.174669492834,7215.44522130954
11,7091,4251003,Burke-Gilman Playground Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4365.82060491065,310441.150985968
12,2639,5250501,Peter Kirk Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3040.32449744012,547715.741781125
13,4863,6242604,Central Park - Issaquah,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,8199.12006454837,2203881.9617909
14,7001,3250104,6th Avenue NW Pocket Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,380.881901562121,9006.3967189932
15,6900,5253104,Goddard Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,712.519791704545,29950.5895116018
16,7124,4252006,Roanoke Street Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,458.063958547886,11024.3287633033
