X,Y,OBJECTID,KC_Fac_FID,F_Name,F_Type,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType
-122.158618309064,47.7713243968116,1,3533,Woodinville High School,School Site,Woodinville High School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.16715991125,47.7689671346133,2,3534,Woodinville Elementary School,School Site,Woodinville Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.081205328123,47.752096747527,3,3549,Woodinville Library Site,CLASS Complex,Woodinville Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.178099057568,47.743717572427,4,3532,Northshore Jr. High School,School Site,Northshore Jr. High School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.224299183233,47.7402711540588,5,3535,Inglemoor High School,School Site,Inglemoor High School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-121.985152100152,47.7409975270484,6,3541,Duvall Library Site,CLASS Complex,Duvall Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.176104730984,47.7299731637029,7,3546,Kingsgate Library Site,CLASS Complex,Kingsgate Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-121.912157728678,47.6511713131571,8,3538,Carnation Elementary School,School Site,Carnation Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-121.913021564304,47.6494158135822,9,3552,Carnation Library Site,CLASS Complex,Carnation Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.193617211944,47.6202406071892,10,3540,Bellevue Regional Library Site,CLASS Complex,Bellevue Regional Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.034785925644,47.5300218223243,11,3544,Issaquah Library Site,CLASS Complex,Issaquah Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.2381797631,47.4910032368838,12,3553,Skyway Library Site,CLASS Complex,Skyway Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.185728249919,47.4605027396543,13,3537,Cascade Elementary School,School Site,Cascade Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.169765595426,47.4515924885054,14,3564,Renton Park Elementary School,School Site,Renton Park Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.154024620935,47.4498690759981,15,3542,Fairwood Library Site,CLASS Complex,Fairwood Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.044310158377,47.3899475560252,16,3547,Maple Valley Library Site,CLASS Complex,Maple Valley Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.234667885595,47.3827147011752,17,3545,Kent Regional Library Site,CLASS Complex,Kent Regional Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.093762388806,47.3616037315178,18,3562,Jenkins Creek Elementary School,School Site,Jenkins Creek Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.122969280015,47.3586888549982,19,3551,Covington Library Site,CLASS Complex,Covington Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.332862171732,47.2956907347489,20,3543,Federal Way Regional Library Site,CLASS Complex,Federal Way Regional Library Site,CLASS Complex,King County Library,Other Government,King County Library,Other Government,King County Library,Other Government
-122.281818115591,47.2705393441756,21,3539,Vahalla Elementary School,School Site,Vahalla Elementary School,School Site,Other School District,School District,Other School District,School District,Other School District,School District
-122.165145434511,47.7179678376418,22,1220,Ballfield #1,Baseball Field,132nd Square Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.16518698425,47.7177452977109,23,1221,Ballfield #2,Baseball Field,132nd Square Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.165728729227,47.7180910821484,24,1226,Parking Lot,Parking Lot,132nd Square Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.164817517407,47.7173516136909,25,1234,Soccer Field,Soccer Field,132nd Square Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.215211860133,47.7062999121925,26,1123,Ballfield #2,Baseball Field,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.215529895449,47.7057980796303,27,1157,Tennis Court #2,Tennis Court,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.2148855911,47.7047543626368,28,1140,Parking Lot,Parking Lot,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.215037093122,47.7039645500679,29,1155,Swimming Beach,Swimming Beach,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.121568613181,47.6655953620176,30,354,Ballfield #1,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.121916849704,47.6655853939028,31,355,Ballfield #2,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.124311972294,47.6642151749014,32,379,Ballfield #3,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.124761175886,47.6641036353404,33,380,Ballfield #5,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.124505551888,47.6641931954791,34,2039,Ballfield #4,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.120823613502,47.6646958971765,35,2084,Parking Lot,Parking Lot,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.11894827136,47.6664059973122,36,2117,Soccer Field #01,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.111978365505,47.6657918367247,37,2124,Velodrome,Velodrome,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.113729476046,47.6662404943699,38,2139,Soccer Field #11,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.116586445425,47.6636418494833,39,2081,Cowboy Lot,Parking Lot,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.118947404671,47.6599763130672,40,2079,South Parking Lot,Parking Lot,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.113570913761,47.6611059989508,41,2149,Soccer Field #09,Soccer Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.108684714243,47.6618633611322,42,331,Marybelle Meadow,Open Play Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.106929387003,47.6635007926001,43,2077,East Marymoor Parking Lot,Parking Lot,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.107995453813,47.6627164719111,44,356,Ballfield #6,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.107533255464,47.6622070451807,45,357,Ballfield #7,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.107476593981,47.6618939716966,46,378,Ballfield #8,Baseball Field,Marymoor Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.280334187026,47.2744034957996,47,263,Ballfield #1,Baseball Field,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.284016356255,47.272742378152,48,264,Ballfield #2,Baseball Field,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.040402150286,47.3747321705502,49,1056,Tennis Court #2,Tennis Court,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.040225509605,47.3752969561144,50,1011,Ballfield #1,Baseball Field,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.039856704746,47.3763315670377,51,1031,Parking Lot,Parking Lot,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.038841958965,47.377012094612,52,1054,Swimming Beach,Swimming Beach,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.038509805803,47.3777774125211,53,1041,Picnic Shelter#1,Picnic Shelter,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
-122.038300139582,47.3792943626421,54,1009,Lake Wilderness Community Center,Community Center,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City
